rollno,register_sem,subno,sub_type
1901CB02,5,CS384,Open Elective - II
1901CB03,5,CS384,Open Elective - II
1901CB06,5,CS384,Open Elective - II
1901CB07,5,CS384,Open Elective - II
1901CB08,5,CS384,Open Elective - II
1901CB10,5,CS384,Open Elective - II
1901CB11,5,CS384,Open Elective - II
1901CB13,5,CS384,Open Elective - II
1901CB14,5,CS384,Open Elective - II
1901CB19,5,CS384,Open Elective - II
1901CB20,5,CS384,Open Elective - II
1901CB22,5,CS384,Open Elective - II
1901CB23,5,CS384,Open Elective - II
1901CB33,5,CS384,Open Elective - II
1901CB34,5,CS384,Open Elective - II
1901CB37,5,CS384,Open Elective - II
1901CB46,5,CS384,Open Elective - II
1901CB49,5,CS384,Open Elective - II
1901CE15,5,CS384,Open Elective - II
1901CE16,5,CS384,Open Elective - II
1901CE22,5,CS384,Open Elective - II
1901CE35,5,CS384,Open Elective - II
1901CE43,5,CS384,Open Elective - II
1901CE45,5,CS384,Open Elective - II
1901CE52,5,CS384,Open Elective - II
1901EE01,5,CS384,Open Elective
1901EE02,5,CS384,Open Elective
1901EE03,5,CS384,Open Elective
1901EE04,5,CS384,Open Elective
1901EE06,5,CS384,Open Elective
1901EE07,5,CS384,Open Elective
1901EE09,5,CS384,Open Elective
1901EE11,5,CS384,Open Elective
1901EE17,5,CS384,Open Elective
1901EE20,5,CS384,Open Elective
1901EE21,5,CS384,Open Elective
1901EE22,5,CS384,Open Elective
1901EE23,5,CS384,Open Elective
1901EE24,5,CS384,Open Elective
1901EE25,5,CS384,Open Elective
1901EE26,5,CS384,Open Elective
1901EE27,5,CS384,Open Elective
1901EE28,5,CS384,Open Elective
1901EE30,5,CS384,Open Elective
1901EE31,5,CS384,Open Elective
1901EE32,5,CS384,Open Elective
1901EE34,5,CS384,Open Elective
1901EE36,5,CS384,Open Elective
1901EE37,5,CS384,Open Elective
1901EE41,5,CS384,Open Elective
1901EE42,5,CS384,Open Elective
1901EE43,5,CS384,Open Elective
1901EE44,5,CS384,Open Elective
1901EE45,5,CS384,Open Elective
1901EE46,5,CS384,Open Elective
1901EE48,5,CS384,Open Elective
1901EE49,5,CS384,Open Elective
1901EE50,5,CS384,Open Elective
1901EE51,5,CS384,Open Elective
1901EE52,5,CS384,Open Elective
1901EE53,5,CS384,Open Elective
1901EE54,5,CS384,Open Elective
1901EE55,5,CS384,Open Elective
1901EE56,5,CS384,Open Elective
1901EE57,5,CS384,Open Elective
1901EE58,5,CS384,Open Elective
1901EE60,5,CS384,Open Elective
1901EE61,5,CS384,Open Elective
1901EE62,5,CS384,Open Elective
1901EE63,5,CS384,Open Elective
1901EE64,5,CS384,Open Elective
1901EE65,5,CS384,Open Elective
1901EE68,5,CS384,Open Elective
1901EE72,5,CS384,Open Elective
1901EE73,5,CS384,Open Elective
1901EE74,5,CS384,Open Elective
1901EE75,5,CS384,Open Elective
1901EE76,5,CS384,Open Elective
1901EE77,5,CS384,Open Elective
1901ME06,5,CS384,Open Elective - II
1901ME07,5,CS384,Open Elective - II
1901ME10,5,CS384,Open Elective - II
1901ME14,5,CS384,Open Elective - II
1901ME15,5,CS384,Open Elective - II
1901ME16,5,CS384,Open Elective - II
1901ME18,5,CS384,Open Elective - II
1901ME19,5,CS384,Open Elective - II
1901ME20,5,CS384,Open Elective - II
1901ME21,5,CS384,Open Elective - II
1901ME24,5,CS384,Open Elective - II
1901ME25,5,CS384,Open Elective - II
1901ME26,5,CS384,Open Elective - II
1901ME27,5,CS384,Open Elective - II
1901ME29,5,CS384,Open Elective - II
1901ME30,5,CS384,Open Elective - II
1901ME31,5,CS384,Open Elective - II
1901ME32,5,CS384,Open Elective - II
1901ME33,5,CS384,Open Elective - II
1901ME35,5,CS384,Open Elective - II
1901ME36,5,CS384,Open Elective - II
1901ME37,5,CS384,Open Elective - II
1901ME38,5,CS384,Open Elective - II
1901ME39,5,CS384,Open Elective - II
1901ME40,5,CS384,Open Elective - II
1901ME41,5,CS384,Open Elective - II
1901ME45,5,CS384,Open Elective - II
1901ME46,5,CS384,Open Elective - II
1901ME49,5,CS384,Open Elective - II
1901ME56,5,CS384,Open Elective - II
1901ME65,5,CS384,Open Elective - II
1901ME68,5,CS384,Open Elective - II
1901ME69,5,CS384,Open Elective - II
1901ME72,5,CS384,Open Elective - II
1901MM01,5,CS384,Open Elective - II
1901MM05,5,CS384,Open Elective - II
1901MM07,5,CS384,Open Elective - II
1901MM09,5,CS384,Open Elective - II
1901MM11,5,CS384,Open Elective - II
1901MM13,5,CS384,Open Elective - II
1901MM14,5,CS384,Open Elective - II
1901MM15,5,CS384,Open Elective - II
1901MM18,5,CS384,Open Elective - II
1901MM22,5,CS384,Open Elective - II
1901MM23,5,CS384,Open Elective - II
1901MM25,5,CS384,Open Elective - II
1901MM31,5,CS384,Open Elective - II
1901MM33,5,CS384,Open Elective - II
1901MM37,5,CS384,Open Elective - II
1901CE56,5,CS384,Open Elective - II
1901EE05,5,CS384,Open Elective
1901EE12,5,CS384,Open Elective
1901EE15,5,CS384,Open Elective
1901EE16,5,CS384,Open Elective
1901EE18,5,CS384,Open Elective
1901EE19,5,CS384,Open Elective
1901ME03,5,CS384,Open Elective - II
